Etnii,Total,Romani,Maghiari,Romi,Ucraineni,Germani,Turci,"Rusi-Lipoveni",Tatari,Sarbi,Slovaci,Bulgari,Croati,Greci,Italieni,Evrei,Cehi,Polonezi,Ruteni,Armeni,Albanezi,Macedoneni,"Alta etnie",Informatie nedisponibila,

ROMANIA,
Ambele sexe,479404,417521,75,18981,20,35,54,20,3,465,4,1487,-,15,63,10,3,7,*,11,5,*,280,40341
Masculin,234743,204027,34,9715,11,20,46,8,*,243,3,767,-,9,53,6,*,3,*,6,3,*,208,19576
Feminin,244661,213494,41,9266,9,15,8,12,*,222,*,720,-,6,10,4,*,4,*,5,*,-,72,20765

DOLJ,
Ambele sexe,599442,494409,87,29918,25,46,34,13,3,22,3,27,*,34,119,15,3,5,*,11,69,723,281,73592
Masculin,289602,238386,42,15247,4,30,31,5,3,10,-,11,*,20,92,11,*,*,*,3,38,344,204,35116
Feminin,309840,256023,45,14671,21,16,3,8,-,12,3,16,-,14,27,4,*,3,*,8,31,379,77,38476

GALATI,
Ambele sexe,496892,413494,90,15366,52,50,60,113,5,4,-,8,-,94,75,33,3,*,-,23,5,3,151,67261
Masculin,242055,200663,33,7727,18,28,42,41,4,*,-,*,-,50,56,16,*,*,-,10,4,3,95,33260
Feminin,254837,212831,57,7639,34,22,18,72,*,*,-,7,-,44,19,17,*,*,-,13,*,-,56,34001

GIURGIU,
Ambele sexe,262066,223571,35,11964,8,16,62,9,10,6,-,8,-,7,21,4,3,*,-,12,9,*,259,26060
Masculin,128917,109723,14,6104,4,11,51,3,7,3,-,6,-,6,18,*,3,-,-,7,3,*,232,12719
Feminin,133149,113848,21,5860,4,5,11,6,3,3,-,*,-,*,3,*,-,*,-,5,6,-,27,13341

GORJ,
Ambele sexe,314684,280979,114,5883,26,21,12,9,-,7,4,*,*,9,43,*,*,*,-,3,158,4,45,27362
Masculin,155338,138432,60,2938,8,15,8,3,-,4,*,-,-,5,37,*,-,-,-,*,82,*,34,13707
Feminin,159346,142547,54,2945,18,6,4,6,-,3,3,*,*,4,6,-,*,*,-,*,76,*,11,13655

HARGHITA,
Ambele sexe,291950,33634,232157,4928,14,62,11,7,*,8,3,*,-,*,7,4,*,4,-,7,-,*,148,20949
Masculin,143628,16913,113842,2449,7,41,7,4,*,6,*,*,-,*,6,*,*,*,-,5,-,*,80,10256
Feminin,148322,16721,118315,2479,7,21,4,3,-,*,*,-,-,-,*,*,-,*,-,*,-,-,68,10693

HUNEDOARA,
Ambele sexe,361657,300972,9180,5449,48,500,33,20,3,28,27,16,6,19,97,37,5,28,74,*,24,9,210,44870
Masculin,174284,144094,4121,2804,21,245,31,6,*,18,14,8,4,12,77,19,*,13,39,*,12,5,145,22591
Feminin,187373,156878,5059,2645,27,255,*,14,*,10,13,8,*,7,20,18,3,15,35,-,12,4,65,22279

IALOMITA,
Ambele sexe,250816,204890,35,16063,10,5,70,207,8,3,-,5,*,8,24,*,-,*,-,3,4,*,230,29244
Masculin,123168,99915,18,8193,3,4,65,97,*,3,-,4,*,5,22,*,-,*,-,3,4,*,159,14665
Feminin,127648,104975,17,7870,7,*,5,110,6,-,-,*,-,3,*,*,-,-,-,-,-,-,71,14579

IASI,
Ambele sexe,760774,613615,98,9964,145,83,84,1495,5,8,-,13,*,72,173,133,5,15,-,37,13,14,593,134207
Masculin,374325,300598,47,5205,63,46,65,745,3,6,-,4,*,44,144,76,4,7,-,17,10,7,435,66797
Feminin,386449,313017,51,4759,82,37,19,750,*,*,-,9,-,28,29,57,*,8,-,20,3,7,158,67410

ILFOV,
Ambele sexe,542686,431610,397,9186,93,167,690,191,122,26,8,92,9,133,148,94,10,25,*,43,14,14,2169,97443
Masculin,262335,207425,203,4642,43,110,527,81,56,17,5,43,6,104,132,64,6,10,*,23,7,9,1431,47390
Feminin,280351,224185,194,4544,50,57,163,110,66,9,3,49,3,29,16,30,4,15,*,20,7,5,738,50053

MARAMURES,
Ambele sexe,452475,342052,23153,11881,25690,548,13,17,-,13,14,*,*,10,96,52,*,10,333,47,5,-,156,48380
Masculin,221077,166656,10725,6098,13139,289,11,4,-,9,9,*,*,7,83,28,-,3,176,25,4,-,104,23704
Feminin,231398,175396,12428,5783,12551,259,*,13,-,4,5,*,-,3,13,24,*,7,157,22,*,-,52,24676

MEHEDINTI,
Ambele sexe,234339,191250,54,12768,8,53,13,4,-,727,4,7,4,11,26,4,303,*,-,*,-,*,50,29050
Masculin,114688,93379,29,6578,*,28,9,-,-,360,*,3,*,3,23,3,145,-,-,-,-,-,34,14089
Feminin,119651,97871,25,6190,6,25,4,4,-,367,3,4,*,8,3,*,158,*,-,*,-,*,16,14961

MURES,
Ambele sexe,518193,252400,165014,44880,47,904,49,24,9,8,5,11,4,9,77,56,3,5,*,10,3,-,296,54378
Masculin,253065,123569,79225,23039,20,489,38,14,6,4,*,4,*,8,66,35,*,3,-,5,*,-,189,26346
Feminin,265128,128831,85789,21841,27,415,11,10,3,4,4,7,3,*,11,21,*,*,*,5,*,-,107,28032

NEAMT,
Ambele sexe,454203,391640,138,5761,46,46,31,136,*,5,4,3,*,31,119,29,*,7,*,54,*,-,116,56028
Masculin,221112,190618,55,2892,13,25,26,61,*,4,*,-,*,17,103,20,*,3,*,24,*,-,82,27160
Feminin,233091,201022,83,2869,33,21,5,75,*,*,*,3,-,14,16,9,*,4,-,30,-,-,34,28868

OLT,
Ambele sexe,383280,338684,39,9812,11,12,35,5,4,9,*,7,*,3,47,3,-,*,-,-,10,11,47,34537
Masculin,188989,166868,12,4943,3,8,33,*,*,6,*,3,-,3,38,*,-,-,-,-,4,5,25,17031
Feminin,194291,171816,27,4869,8,4,*,3,*,3,-,4,*,-,9,*,-,*,-,-,6,6,22,17506

PRAHOVA,
Ambele sexe,695117,605242,214,14024,36,96,158,38,13,7,9,13,-,74,96,23,6,10,-,6,8,*,313,74729
Masculin,335013,290803,87,7059,11,61,124,12,9,*,4,4,-,46,85,13,*,7,-,3,5,*,215,36460
Feminin,360104,314439,127,6965,25,35,34,26,4,5,5,9,-,28,11,10,4,3,-,3,3,*,98,38269

SATU MARE,
Ambele sexe,330668,182750,93491,16340,1361,3722,7,8,-,4,61,*,3,*,45,77,-,3,*,*,*,-,90,32698
Masculin,160182,89193,44138,8298,670,1733,7,4,-,4,33,*,*,-,33,39,-,*,*,*,*,-,62,15959
Feminin,170486,93557,49353,8042,691,1989,-,4,-,-,28,-,*,*,12,38,-,*,*,-,-,-,28,16739

SALAJ,
Ambele sexe,212224,136552,40554,16706,25,40,3,*,*,3,760,*,-,*,46,32,*,-,-,4,-,-,75,17416
Masculin,103661,66541,19571,8487,10,23,3,-,-,3,388,-,-,*,38,16,*,-,-,*,-,-,52,8526
Feminin,108563,70011,20983,8219,15,17,-,*,*,-,372,*,-,*,8,16,*,-,-,3,-,-,23,8890

SIBIU,
Ambele sexe,388325,313118,6112,12808,50,2716,47,39,4,22,*,9,3,28,73,23,5,19,-,19,*,-,296,52930
Masculin,187901,151002,2788,6648,19,1390,41,17,*,15,-,5,3,17,66,12,*,5,-,11,*,-,204,25654
Feminin,200424,162116,3324,6160,31,1326,6,22,3,7,*,4,-,11,7,11,3,14,-,8,*,-,92,27276

SUCEAVA,
Ambele sexe,642551,549813,91,13568,7916,475,28,1265,4,7,-,*,*,14,62,36,-,1667,182,35,11,*,168,67205
Masculin,316598,270441,35,7023,4048,219,24,584,*,6,-,*,*,11,47,21,-,822,88,21,11,-,97,33096
Feminin,325953,279372,56,6545,3868,256,4,681,*,*,-,*,-,3,15,15,-,845,94,14,-,*,71,34109

TELEORMAN,
Ambele sexe,323544,282613,22,9457,6,9,15,6,*,*,*,32,-,5,11,3,-,*,*,*,-,-,109,31248
Masculin,158437,137898,12,4901,*,5,13,4,-,*,-,16,-,5,9,*,-,*,-,*,-,-,72,15496
Feminin,165107,144715,10,4556,5,4,*,*,*,-,*,16,-,-,*,*,-,*,*,-,-,-,37,15752

TIMIS,
Ambele sexe,650533,484243,21285,12438,4131,4684,78,82,14,6447,939,3244,179,42,358,144,141,32,26,16,29,100,1002,110879
Masculin,313398,232864,9949,6317,1996,2166,60,28,4,3102,442,1600,98,30,294,79,75,17,11,6,19,49,693,53499
Feminin,337135,251379,11336,6121,2135,2518,18,54,10,3345,497,1644,81,12,64,65,66,15,15,10,10,51,309,57380

TULCEA,
Ambele sexe,193355,153094,51,3963,900,65,993,8010,106,*,*,34,*,266,65,8,-,*,-,25,4,6,567,25192
Masculin,95481,75515,24,2057,440,37,470,3772,43,*,*,16,*,124,47,6,-,*,-,13,*,5,274,12631
Feminin,97874,77579,27,1906,460,28,523,4238,63,*,-,18,-,142,18,*,-,-,-,12,*,*,293,12561

VASLUI,
Ambele sexe,374700,317508,28,5267,12,9,7,30,-,-,*,3,-,5,39,13,*,*,-,*,3,*,58,51711
Masculin,187891,158504,10,2738,*,6,5,11,-,-,-,-,-,*,37,4,*,-,-,-,3,*,35,26533
Feminin,186809,159004,18,2529,11,3,*,19,-,-,*,3,-,3,*,9,*,*,-,*,-,-,23,25178

VALCEA,
Ambele sexe,341861,302696,78,8234,16,39,37,9,7,8,-,*,-,7,40,4,*,3,-,*,3,-,68,30607
Masculin,166505,147063,31,4179,*,21,30,*,4,6,-,*,-,6,35,*,*,*,-,*,*,-,51,15065
Feminin,175356,155633,47,4055,14,18,7,7,3,*,-,-,-,*,5,*,*,*,-,-,*,-,17,15542

VRANCEA,
Ambele sexe,335312,289516,51,13723,11,9,21,4,*,-,*,*,-,5,64,9,-,4,-,3,4,-,76,31809
Masculin,164034,141436,29,7151,3,3,16,*,-,-,*,-,-,*,59,5,-,-,-,*,3,-,63,15259
Feminin,171278,148080,22,6572,8,6,5,*,*,-,-,*,-,3,5,4,-,4,-,*,*,-,13,16550

MUNICIPIUL BUCURESTI,
Ambele sexe,1716983,1252209,2168,10740,355,1011,1342,844,719,147,41,239,19,553,433,906,22,123,4,390,56,80,5703,438879
Masculin,790772,569314,857,5310,142,529,914,330,317,68,20,100,10,347,338,509,7,56,*,174,30,39,3803,207556
Feminin,926211,682895,1311,5430,213,482,428,514,402,79,21,139,9,206,95,397,15,67,*,216,26,41,1900,231323
